SWIS,Longitude,Latitude,LandfillName,City,LandfillOwnershipType,Owner,Class,TypeOfWaste,TypeOfWaste2,CurrentLandfillStatus,YearOpened,YearClosed,YearRange,Converted,ConversionType,SiteConversion,SiteRegulartoryStatus,DocumentationLink
"07-AA-0001","[122.3883124, 122.3817824, 122.38044109999998, 122.3795233, 122.38040579999999, 122.38347659999998, 122.38351189999999, 122.3851709, 122.3851709, 122.38548859999999, 122.38577099999999, 122.386724, 122.38661809999999, 122.3869005, 122.38725349999999, 122.38735940000001, 122.38778290000002, 122.38912420000001, 122.38923009999999, 122.3899361, 122.3905361, 122.39088909999998, 122.393254, 122.3954425, 122.3956543, 122.39621899999999, 122.39660729999999, 122.39724270000002, 122.3957955, 122.3956543, 122.3951601, 122.3894419, 122.3884183]","[37.9714346, 37.971379, 37.9697094, 37.9684016, 37.968095500000004, 37.967622399999996, 37.9673441, 37.967372, 37.9666484, 37.9650623, 37.9650066, 37.965618799999994, 37.9647005, 37.9645335, 37.9642831, 37.964060499999995, 37.9639491, 37.9640326, 37.9640326, 37.9636709, 37.964116100000005, 37.9648675, 37.9644779, 37.964895299999995, 37.9657301, 37.966036200000005, 37.966787599999996, 37.967872799999995, 37.967789399999994, 37.968791100000004, 37.9694868, 37.9691807, 37.9694868]","West Contra Costa Landfill (Class I Parcel)","Richmond","Private","West Contra Costa Sanitary Landfill Inc","Class I","Hazardous Waste","nan","Closed","nan","1985.0","No year opened year","Not Converted","nan","nan","Permitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/385444"
"07-AA-0003","[121.8404462, 121.8404462, 121.84184679999998, 121.84119170000001, 121.84114650000001, 121.84060430000001, 121.8405365, 121.8406269, 121.84001699999999, 121.8398136, 121.8403106, 121.8419145, 121.8427956, 121.84580009999999, 121.84914350000001, 121.85056670000002, 121.8514703, 121.8516736, 121.8502956, 121.8488498, 121.84742659999998]","[37.9895635, 37.989225299999994, 37.9887624, 37.9875695, 37.987427000000004, 37.9874626, 37.9869107, 37.9868039, 37.9864656, 37.9858958, 37.9847919, 37.9846139, 37.9854507, 37.9862875, 37.986412200000004, 37.986554600000005, 37.986981899999996, 37.989706, 37.989830600000005, 37.990311299999995, 37.9904537]","Contra Costa SLF (Pittsburg LF & GBF LF)","Antioch","Private","GBF Holdings LLC. c/o TRC Companies","Class III","Non-Hazardous Waste","nan","Closed","1940.0","1992.0","This landfill consists of three landfills that were all opened at different times. The Pittsburg Landfill opened in the 1940's, the GBF landfill opened in the 1960's, and the contra costa SLF opened in 1980's.","Not Converted","nan","nan","Permitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/388411"
"07-AA-0041","[121.8528811, 121.8522119, 121.8514895, 121.85343780000001, 121.85350290000001, 121.85356809999999]","[37.9870316, 37.9868216, 37.9863828, 37.9853186, 37.985412, 37.9856407]","Antioch City Landfill","Antioch","Public","City Of Antioch Public Works Dept","nan","nan","nan","Closed","nan","1968.0","Estimated closure","Not Converted","nan","nan","Unpermitted","nan"
"07-CR-0001","[121.5985623, 121.59776809999998, 121.5977284, 121.5985821]","[37.999215, 37.999199299999994, 37.9984796, 37.998526500000004]","Holland Tract - Paper Pulp Landspreading","Knightsen","nan","nan","nan","nan","nan","nan","1988.0","1991.0","nan","Not Converted","nan","nan","Unpermitted","nan"
"07-CR-0005","[121.851428, 121.85133190000002, 121.8542317, 121.8542594, 121.85393559999999, 121.8537875, 121.85372279999999, 121.853769, 121.8536487, 121.8535285, 121.85344520000001]","[37.9863359, 37.9832039, 37.9832801, 37.9843011, 37.984519899999995, 37.984709499999994, 37.9848554, 37.9851909, 37.9852857, 37.985344, 37.9853003]","Antioch Disposal Svc LF - Lynch Site","Antioch","Private","Good Chance Management LLC","nan","nan","nan","Closed","nan","1997.0","No info on year opened.","Not Converted","nan","nan","Unpermitted","nan"
"07-CR-0006","[121.68697979999999, 121.6864588, 121.6863953, 121.6869925]","[38.036830200000004, 38.0368702, 38.03637979999999, 38.0363398]","Jersey Island Ash Disposal Site","Bethel Island","Private","Ironhouse Sanitary","nan","nan","nan","Closed","nan","nan","nan","Not Converted","nan","nan","Unpermitted","nan"
"07-CR-0018","[122.0919325, 122.0913126, 122.09113740000001, 122.09030870000001, 122.0902615, 122.091353, 122.09165619999999, 122.09211440000001, 122.092357, 122.09237040000002, 122.092357, 122.0923906, 122.0925389, 122.092357, 122.09248500000001, 122.0923098]","[38.0312015, 38.0314191, 38.031249200000005, 38.0298322, 38.0294448, 38.029078600000005, 38.029078600000005, 38.029168799999994, 38.0293545, 38.0295191, 38.0296783, 38.0297897, 38.0298906, 38.0303311, 38.030978600000005, 38.0310953]","Martinez City Rubbish","Martinez","Public","City of Martinez","Class III","Non-Hazardous Waste","nan","Closed","1935.0","1957.0","This landfill was operated as a landfill until 1957, then taken over by Martinez Auto Dismantler as an automobile wrecking yard from 1969 - 1999.","Not Converted","nan","nan","Pre-Regulation","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/276859"
"07-CR-0027","[122.3761952, 122.37619009999999, 122.37644170000002, 122.376492, 122.3766338, 122.37614509999999, 122.3758485, 122.3758485, 122.3731611, 122.3727074, 122.37262009999999, 122.3714335, 122.37082269999999, 122.37179990000001, 122.3725787, 122.37326029999998, 122.3754689, 122.37614440000002, 122.3768815, 122.38089099999999, 122.3810473]","[37.954032399999996, 37.9535768, 37.95336029999999, 37.9529852, 37.952851700000004, 37.9518117, 37.951687899999996, 37.9514815, 37.9514539, 37.951275, 37.9500641, 37.9499403, 37.9488394, 37.9471468, 37.9466858, 37.947438399999996, 37.9474599, 37.9514215, 37.9514303, 37.9514567, 37.95401939999999]","Chevron USA - Former City of Richmond Landfill","Richmond","Public/Private","Chevron","Class II","nan","nan","Closed","nan","1953.0","No opening year","Not Converted","nan","nan","TBD","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/326784"
"07-CR-0041","[121.6199625, 121.62017820000001, 121.60728519999999, 121.60505649999999, 121.6051763]","[37.8004865, 37.8008273, 37.8105785, 37.809026, 37.8050498]","Banks Pumping Plant Waste Fill","Byron","Public","Calif Dept Of Water Resources","nan","nan","nan","Closed","nan","1981.0","No opening year","Not Converted","nan","nan","Unpermitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/346617"
"07-CR-0042","[122.41148729999999, 122.41155159999998, 122.412052, 122.41220919999999, 122.41230220000001, 122.4122736, 122.4121378, 122.4120949, 122.41208059999998]","[37.948522600000004, 37.9481112, 37.9470346, 37.9470233, 37.947434799999996, 37.947649, 37.9478406, 37.9481506, 37.9483648]","Naval Fuel Depot Point Molate Site 1","Richmond","nan","U.S. Department of the Navy-SW Div NFEC","nan","nan","nan","Closed","1957.0","1979.0","nan","Not Converted","nan","nan","Pre-Regulation","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/261523"
"07-CR-0044","[122.03506589999999, 122.0344798, 122.03402240000001, 122.03354350000001, 122.03357920000002, 122.0342297, 122.03435120000002, 122.03462990000001, 122.0348801, 122.0353018, 122.0356378, 122.0357736, 122.03590220000001, 122.03598799999999, 122.0360881, 122.03617379999999, 122.03630249999999, 122.0365527, 122.03663130000001, 122.03667420000001, 122.0366242, 122.03640970000001, 122.0362596, 122.03611670000001, 122.03603799999999, 122.0358665, 122.03580929999998, 122.03572350000002, 122.03572350000002, 122.0356592, 122.03558770000001, 122.0356092, 122.03563059999999, 122.0356092, 122.03538759999999]","[38.0514058, 38.0511919, 38.0507022, 38.0501394, 38.0500043, 38.0494527, 38.0494977, 38.0495146, 38.0495202, 38.0496159, 38.0496553, 38.0496553, 38.0496666, 38.0497904, 38.0498748, 38.049993, 38.0500662, 38.0500831, 38.0502238, 38.0503589, 38.0504039, 38.0504152, 38.0504827, 38.0505728, 38.050584, 38.0505334, 38.0506347, 38.0506403, 38.0507641, 38.0508823, 38.050888, 38.0509499, 38.0510737, 38.0512201, 38.0513383]","Tidal Area Landfill at NWS Concord","Clyde","Private","U S Dept. of Navy","Class I","Hazardous Waste","nan","Closed","1944.0","1979.0","nan","Not Converted","nan","nan","Unpermitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/263416"
"21-AA-0002","[122.79965209999999, 122.798749, 122.7984812, 122.79833799999999, 122.79792069999999, 122.7976467, 122.79752830000001, 122.79752830000001, 122.7977027, 122.79792069999999, 122.7984625, 122.79897949999999, 122.7999635, 122.8011842, 122.8018818, 122.8018818, 122.8008604, 122.8009351]","[38.0892809, 38.0890456, 38.0888005, 38.0886779, 38.088575, 38.088550500000004, 38.088339700000006, 38.088163200000004, 38.0880407, 38.0878936, 38.08731029999999, 38.086972100000004, 38.086668100000004, 38.0864132, 38.0863936, 38.0866289, 38.086957399999996, 38.087776]","West Marin Sanitary Landfill","Point Reyes Station","Private","West Marin Sanitary Landfill Inc","Class III","Non-Hazardous Waste","nan","Closed","1965.0","1998.0","nan","Not Converted","nan","nan","Permitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/64740"
"21-AA-0003","[122.4899942, 122.48993200000001, 122.4890288, 122.4898074, 122.4895063, 122.49410520000002, 122.4956209, 122.49420900000001, 122.49457240000001, 122.49380420000001, 122.49328510000001, 122.49280759999999, 122.4930982]","[37.9564712, 37.956438500000004, 37.9537209, 37.953729100000004, 37.9529596, 37.9499226, 37.9513061, 37.9522475, 37.9541302, 37.95393370000001, 37.9539583, 37.9544412, 37.9558901]","San Quentin Landfill","San Rafael","Private","Cal-Pox","Class III","Non-Hazardous Waste","nan","Closed","1968.0","1987.0","Exact","Partially Converted","Commercial","Bayview Business Park Site","Surrendered","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/65363"
"21-AA-0004","[122.4877311, 122.4870933, 122.487472, 122.4876713, 122.4875119, 122.4873126, 122.4873325, 122.4876581, 122.487977, 122.4898771, 122.49003, 122.48978410000001, 122.48975759999999, 122.48907990000001]","[37.94957, 37.9474271, 37.947495200000006, 37.9474481, 37.947264700000005, 37.9468508, 37.9465888, 37.9467565, 37.9469032, 37.9480716, 37.9482078, 37.948553600000004, 37.9489098, 37.949470399999996]","Ghilotti Brothers Disposal Site","San Rafael","Private","Barbara Fasken 1995 Trust","Class III","Non-Hazardous Waste","nan","Closed","nan","nan","Exact","Converted ","Commercial","Bayview Business Park Site","Surrendered","nan"
"21-AA-0007","[122.5349409, 122.5328992, 122.53026509999998, 122.52782240000002, 122.52780420000002, 122.52946299999999, 122.53052029999999, 122.5323979, 122.53382890000002, 122.53427549999999, 122.53474950000002, 122.53504109999999, 122.5354604, 122.53505020000001]","[38.019641, 38.01956920000001, 38.0192174, 38.01839879999999, 38.0180972, 38.0175156, 38.016740000000006, 38.0168406, 38.016905200000004, 38.0174222, 38.0176233, 38.0179823, 38.019131200000004, 38.0193179]","Smith Ranch Road Landfill (Closed)","San Rafael","Private","Pell Developement Company","nan","nan","nan","Closed","1925.0","1958.0","nan","Converted ","Commercial/Residential","nan","Unpermitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/65791"
"21-AA-0047","[122.49322279999998, 122.4891118, 122.48889380000001, 122.4896828, 122.48923640000001, 122.48863429999999, 122.4886135, 122.4890703, 122.4894233, 122.4899112, 122.4904406, 122.4925273]","[37.9490222, 37.9517809, 37.9517727, 37.9511014, 37.9504711, 37.9503974, 37.9500209, 37.9500945, 37.9498653, 37.9498162, 37.9493742, 37.948301799999996]","Horst Hanf Landfill","San Rafael","nan","nan","nan","nan","nan","Closed","nan","1969.0","Exact","Fully Converted","Commercial","Bayview Business Park Site","Unpermitted","nan"
"21-AA-0048","[122.49828889999999, 122.4978632, 122.4975518, 122.4971054, 122.4959946, 122.49826809999999]","[37.961505100000004, 37.9612677, 37.960981200000006, 37.960473799999995, 37.95982720000001, 37.9595734]","Bellam Blvd LF AKA San Rafael LF","San Rafael","Public","City Of San Rafael","nan","Inert Waste","nan","Closed","1945.0","1980.0","Exact","Not Converted","nan","nan","Unpermitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/447278"
"21-AA-0049","[122.5236088, 122.52262920000001, 122.52147920000002, 122.52233100000001, 122.5243115, 122.52520590000002, 122.5249717, 122.5248865, 122.52526979999999, 122.52518470000001, 122.52554669999999]","[38.0664624, 38.065993, 38.0645343, 38.062807299999996, 38.0613318, 38.0614995, 38.0618181, 38.063394200000005, 38.063763, 38.064182200000005, 38.0645511]","Hamilton AFB Landfill #26","Novato","Public","Federal Government","Class II","Hazardous Waste","nan","Closed","1940.0","1995.0","Exact","Fully Converted","Residential","nan","Unpermitted","https://secure.calrecycle.ca.gov/SWISDocument/System/DR/Download/968c801c-8dbb-4272-9935-c7b37c5f8c3d"
"21-AA-0053","[122.90647890000001, 122.9062403, 122.90628290000001, 122.9065301]","[38.2375079, 38.237441, 38.2373439, 38.2373908]","Colliss Ranch Illegal Dump","Tomales","Private","Robert S. Colliss","Class I/Class II","Hazardous Waste","Illegal Dump","Closed","1940.0","nan","Noted in the document that the site had been open for 50 years as of 1994.","nan","nan","nan","Unpermitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/66629"
"21-CR-0004","[122.5601892, 122.55997279999998, 122.56012040000002, 122.560268, 122.5603368, 122.56104199999999, 122.5609436, 122.5607337, 122.56067140000002, 122.56045490000001, 122.560468]","[37.9902676, 37.9901125, 37.989970299999996, 37.990021999999996, 37.9898359, 37.9897066, 37.9899108, 37.9900659, 37.9899755, 37.9900659, 37.9901125]","City Of San Anselmo Corporation Yard","San Anselmo","Public","Town Of San Anselmo","Class III","Inert Waste","nan","Closed","nan","1986.0","No opening year","Not Converted","nan","nan","TBD","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/273572"
"21-CR-0005","[122.4857687, 122.48676329999999, 122.4893067, 122.48870349999999, 122.4883828, 122.4882959, 122.4881111, 122.48802409999999, 122.487948, 122.48782299999999, 122.48771979999998, 122.4876763, 122.48759479999998, 122.48749699999999, 122.48745890000002, 122.48745890000002, 122.48745890000002, 122.48732849999999, 122.4871655, 122.4869535, 122.48671979999999, 122.4866111, 122.4861872]","[37.8610523, 37.8600611, 37.8613011, 37.8619018, 37.8617388, 37.8618074, 37.8617045, 37.8616015, 37.86155, 37.8615028, 37.8613869, 37.86131829999999, 37.86125820000001, 37.8612196, 37.8611467, 37.861065100000005, 37.861030799999995, 37.86101370000001, 37.861151, 37.8612968, 37.8614771, 37.86154570000001, 37.8613912]","Dunphy Park Burn Dump","Sausalito","Public","City Of Sausalito","nan","nan","nan","Closed","1930.0","1950.0","1930's - 1950's","Not Converted","nan","nan","Unpermitted","nan"
"21-CR-0006","[122.5601982, 122.5597696, 122.5594341, 122.55925890000002, 122.55927009999999, 122.55930359999998, 122.5596987, 122.55986270000001, 122.560023, 122.56013490000002, 122.56041809999999, 122.5603622, 122.56041440000001, 122.5605523, 122.5605561, 122.5605486, 122.5603771]","[37.9031431, 37.9030784, 37.9029313, 37.902796, 37.9026784, 37.9025343, 37.9022225, 37.9022166, 37.902337200000005, 37.9025578, 37.9026784, 37.9027695, 37.902848999999996, 37.902843100000005, 37.902860700000005, 37.902996, 37.903104799999994]","Edgewood DS AKA Mill Valley City LF","Mill Valley","Public","City of Mill Valley","nan","nan","nan","Closed","nan","1967.0","No opening year","Not Converted","nan","nan","Pre-Regulation","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/276866"
"21-CR-0007","[122.52876979999999, 122.5284981, 122.5278358, 122.5278273, 122.53006909999999, 122.5306125, 122.5318608, 122.53284579999999, 122.53271000000001, 122.53225990000001, 122.53185230000001, 122.53043419999999]","[37.9427995, 37.942451299999995, 37.940094, 37.9388416, 37.9382121, 37.938238899999995, 37.9382791, 37.938372799999996, 37.939645299999995, 37.939765799999996, 37.940375200000005, 37.9407168]","Larkspur Disposal Site","Larkspur","Public","City of Larkspur","Class III","Non-hazardous Waste","nan","nan","1958.0","1980.0","Opened Between 1958 - 1963; Closed between 1971 - 1980","Not Converted","nan","nan","Pre-Regulation","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/264138"
"21-CR-0009","[122.52711399999998, 122.5263752, 122.5272753, 122.52786119999999, 122.5283368, 122.52895670000001, 122.52990770000001, 122.5298143, 122.52918590000002, 122.5284896, 122.5284896, 122.52858300000001, 122.52871040000001, 122.52786119999999]","[37.8997269, 37.897073299999995, 37.8969527, 37.896852200000005, 37.8966847, 37.896611, 37.896738299999996, 37.8976161, 37.8978506, 37.897911, 37.8982527, 37.8986279, 37.89885579999999, 37.8994789]","Mill Valley Dump","Mill Valley","Private","The Biggio Family","Class I / Class III","Hazardous Waste","nan","Closed","1910.0","1940.0","Opened Around 1910's ; Closed around 1940's","Fully Converted","Public","middle school, school district office, community center, sewer treatment plant","TBD","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/264577"
"21-CR-0010","[122.79910079999999, 122.7973621, 122.79692240000001, 122.7963528, 122.7968625, 122.7968325, 122.7976419, 122.801744, 122.80133070000001, 122.8010442, 122.801433, 122.8014125, 122.80139609999999]","[38.0818563, 38.0823912, 38.0816597, 38.0815653, 38.0812743, 38.0808102, 38.080070899999996, 38.0812235, 38.081478000000004, 38.0807499, 38.0805824, 38.0807113, 38.080814399999994]","Monte's Dump AKA Point Reyes Station","Point Reyes Station","nan","nan","Class III","Non-Hazardous Waste","nan","Closed","nan","nan","No years listed","Not Converted","nan","nan","TBD","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/264660"
"21-CR-0017","[122.49289089999999, 122.4897689, 122.4890144, 122.4921104]","[37.9506984, 37.9527499, 37.951901899999996, 37.9499051]","Francisco Landfill","San Rafael","Public","Marin Municipal Water District","Class III","Non-Hazardous Waste","nan","Closed","1975.0","2013.0","nan","Not Converted","nan","nan","Notification","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/276995"
"21-CR-0027","[122.9474031, 122.9455163, 122.9457504, 122.9477078, 122.94838870000001, 122.9483461, 122.94715459999999]","[38.294649299999996, 38.2935846, 38.292382200000006, 38.2904785, 38.2905286, 38.2917477, 38.29274960000001]","Pozzi Disposal Site","Valley Ford","Private","The Pozzi Family","nan","Composting ","nan","Closed","nan","nan","No years listed","Not Converted","nan","nan","Unpermitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/264347"
"21-CR-0028","[122.8211213, 122.82106200000001, 122.8210598, 122.8210598, 122.82109170000001, 122.82113490000002, 122.82118729999999, 122.82123059999999, 122.821242, 122.82120330000001, 122.82115320000001, 122.82175, 122.8216817, 122.8216065, 122.8216133, 122.8216452, 122.8217614, 122.821848, 122.82187990000001, 122.82187990000001, 122.82185249999999, 122.8218138]","[38.119398499999996, 38.1193573, 38.119339399999994, 38.1192999, 38.1192784, 38.119246200000006, 38.119246200000006, 38.119262299999995, 38.1192999, 38.1193411, 38.1193824, 38.118894899999994, 38.118911, 38.118877000000005, 38.1188196, 38.11875870000001, 38.1187318, 38.1187318, 38.1187408, 38.1188196, 38.1188644, 38.118877000000005]","Borello Ranch Trash Disposal Site","Point Reyes Station","Private","Marin Agricultural Land Trust","nan","nan","nan","Closed","nan","nan","No years listed","nan","nan","nan","Unpermitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/294080"
"28-AA-0001","[122.2815195, 122.2784781, 122.27924309999999, 122.27890719999999, 122.2793737, 122.28448629999998, 122.2849154, 122.28584840000002, 122.28484080000001, 122.28482209999999, 122.2839452, 122.28336670000002, 122.2832175, 122.28297490000001, 122.2832175]","[38.180988, 38.1809734, 38.177335799999994, 38.17234860000001, 38.1719085, 38.1712484, 38.1722313, 38.173742100000005, 38.174446200000006, 38.1755757, 38.176499799999995, 38.1776292, 38.17872929999999, 38.1797267, 38.1807094]","American Canyon Sanitary Landfill","Napa","Private","Napa-Vallejo Waste Management Authority","Class III","Non-Hazardous Waste","nan","Closed","1942.0","1971.0","nan","Partially Converted","Public","Wetlands Edge Park","Permitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/342643"
"28-AA-0003","[122.1818686, 122.1817433, 122.18161059999998, 122.1814338, 122.1813085, 122.18108000000001, 122.1807926, 122.180601, 122.18038729999999, 122.1806452, 122.1809548, 122.1806747, 122.1807263, 122.1809769, 122.1817433, 122.1820233, 122.18224440000002, 122.18272340000001, 122.1828561, 122.1832098, 122.18332040000001, 122.1835709, 122.1835415, 122.18312879999999, 122.18312879999999, 122.1832614, 122.18343829999999, 122.18366670000002, 122.1840205, 122.1839763, 122.18390259999998, 122.1839763, 122.1840721, 122.18413840000001, 122.18410149999998, 122.18399099999999, 122.18382150000001, 122.18368889999999, 122.18351200000001, 122.18339409999999, 122.18319509999999, 122.1831804, 122.183173, 122.18312879999999, 122.1829445, 122.18287820000002, 122.1826424]","[38.4522378, 38.452312799999994, 38.452434000000004, 38.4526014, 38.4527284, 38.452768799999994, 38.4527226, 38.452549499999996, 38.4522667, 38.451949299999995, 38.4519031, 38.451868499999996, 38.451666499999995, 38.451666499999995, 38.4516434, 38.451493299999996, 38.4512452, 38.4509162, 38.450668, 38.4506218, 38.4506969, 38.4507026, 38.4508527, 38.4510778, 38.451147, 38.451193200000006, 38.4512221, 38.4513375, 38.451493299999996, 38.451672200000004, 38.451879999999996, 38.451966600000006, 38.4520474, 38.4522782, 38.4524225, 38.452647600000006, 38.452768799999994, 38.452890000000004, 38.453092, 38.4531843, 38.4530977, 38.4528669, 38.4527168, 38.4526072, 38.452451399999994, 38.452347499999995, 38.452232]","Berryessa Garbage Service Disposal Site","Napa","Private","Berryessa Garbage Service, Inc","Class III","Non-Hazardous Waste","nan","Closed","1960.0","1993.0","The starting year is an estimate. Operation began sometime in the 1960's","Not Converted","nan","nan","Permitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/389010"
"28-AA-0007","[122.37342849999999, 122.3733814, 122.3736548, 122.3742203, 122.37469159999999, 122.3750121, 122.37521000000001, 122.37505449999999, 122.3748943, 122.3745926, 122.37429099999999, 122.3738197, 122.37363119999999, 122.3717271, 122.37161869999998, 122.3717743, 122.37190149999999, 122.37210890000001, 122.3723163, 122.37257549999998, 122.37257079999999, 122.3726462, 122.3725943, 122.37249059999999, 122.3723068, 122.3719534, 122.37126529999999, 122.3706384, 122.3706196, 122.3706196, 122.3707987, 122.37088349999999, 122.3710532, 122.37101080000001, 122.3709683, 122.3709165, 122.37099189999999, 122.37114740000001, 122.37126529999999, 122.3713972, 122.3714868, 122.3714868, 122.37138780000001, 122.3712066, 122.3710226, 122.37103470000001, 122.37118249999999, 122.3714057, 122.37154450000001, 122.3716591, 122.3717375, 122.3717375, 122.37169229999999, 122.3716199, 122.3714811]","[38.3938774, 38.3938109, 38.3933713, 38.392961299999996, 38.3927064, 38.392665799999996, 38.3929872, 38.393231, 38.393603999999996, 38.3939291, 38.394232, 38.39428, 38.39416920000001, 38.3937592, 38.393744399999996, 38.3930278, 38.3928209, 38.3924405, 38.3924109, 38.3926104, 38.392917, 38.3932679, 38.39347479999999, 38.3939143, 38.393980799999994, 38.3938959, 38.3936558, 38.393600299999996, 38.3935634, 38.3934563, 38.3927803, 38.3927766, 38.3928283, 38.393060999999996, 38.3931829, 38.3933307, 38.393327, 38.393327, 38.3933455, 38.3933455, 38.393415600000004, 38.393567100000006, 38.393652100000004, 38.3927881, 38.3927361, 38.3925659, 38.3925659, 38.392539899999996, 38.392539899999996, 38.392556400000004, 38.3926368, 38.392728999999996, 38.3928141, 38.3928401, 38.392826]","Veteran`s Home Disposal Site","Yountville","Private","nan","Class III","Non-Hazardous Waste","nan","Closed","nan","nan","No opening year","Not Converted","nan","nan","Unpermitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/401589"
"28-AA-0008","[122.26999509999999, 122.26952109999999, 122.26913799999998, 122.2690906, 122.26937099999999, 122.27053629999999, 122.2705639, 122.27040590000001, 122.27020049999999]","[38.279912599999996, 38.2798691, 38.2796924, 38.2793234, 38.27884279999999, 38.27890479999999, 38.2793358, 38.279763700000004, 38.2799002]","Napa State Hospital Disposal Site","Imola","Public","State of California","nan","nan","nan","Closed","nan","nan","No info on year opened.","Partially Converted","nan","Parking Lot","Closed","nan"
"28-AA-0021","[122.37512749999999, 122.3750519, 122.3750519, 122.3751133]","[38.6453325, 38.645328899999996, 38.6452771, 38.6452771]","Connor's Ranch","Pope Valley","Private","Connor's Ranch","nan","nan","nan","Closed","nan","nan","nan","Not Converted","nan","nan","Unpermitted","nan"
"28-AA-0028","[122.26596040000001, 122.26615009999999, 122.26618629999999, 122.2661803, 122.2661923, 122.26617730000001, 122.2661652, 122.26614709999998, 122.2661351, 122.266117, 122.26607179999999, 122.2659845, 122.2660297, 122.26610190000001, 122.26619529999999, 122.2663008, 122.26632179999999, 122.2664243, 122.26654479999999, 122.2666351, 122.26672549999999, 122.26682190000001, 122.2667888, 122.2666743, 122.2665327, 122.2664243, 122.2662164, 122.266123, 122.2660297]","[38.2982718, 38.2979976, 38.297943200000006, 38.2979219, 38.2978368, 38.2978156, 38.2977872, 38.297751700000006, 38.297692600000005, 38.2976666, 38.2976335, 38.2975744, 38.2974799, 38.297446799999996, 38.2974751, 38.2974869, 38.2975791, 38.2976453, 38.2976619, 38.2976075, 38.2976406, 38.2977068, 38.297780100000004, 38.2979385, 38.297981, 38.2982009, 38.2982836, 38.298312, 38.298312]","Hidden Glen Dump","Napa","Public","City of Napa","Class III","Non-Hazardous Waste","Burn Dump","Closed","1947.0","1970.0","nan","Not Converted","nan","nan","Unpermitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/1072"
"28-AA-0029","[122.27432820000001, 122.27432820000001, 122.27665729999998, 122.27639850000001, 122.27701019999999, 122.27698670000001, 122.2766338, 122.27444579999998]","[38.27866420000001, 38.2784241, 38.2783687, 38.278812, 38.2790336, 38.279365999999996, 38.2794583, 38.2794214]","Napa Valley College","Napa","nan","nan","nan","Inert Waste","C&D Waste","Closed","nan","1950.0","The last refuse disposed of at the site was sometime in the 1950's.","Fully Converted","School Campus","Student Housing","Unpermitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/455186"
"28-AA-0036","[122.4380993, 122.4380521, 122.4380473, 122.4380993]","[38.5750801, 38.57507639999999, 38.5750543, 38.5750543]","Pacific Union College Transfer Facility","Angwin","Private","Pacific Union College","nan","nan","nan","Closed","nan","nan","nan","Not Converted","nan","nan","Permitted","nan"
"28-CR-0005","[122.26421509999999, 122.2639358, 122.26409869999999, 122.26422679999999, 122.26449450000001, 122.26463419999999, 122.2649136, 122.26490190000001, 122.26476219999999, 122.2649369, 122.2651347, 122.2651115, 122.26473899999999]","[38.269282200000006, 38.268807, 38.2681033, 38.2680027, 38.26782, 38.2675092, 38.2678931, 38.2680119, 38.2681398, 38.268478, 38.2686516, 38.268852700000004, 38.2691177]","Basalt Rock Dumpsite","Angwin","Private","Basalt Rock Company Inc.","nan","Inert Waste","nan","Closed","1940.0","1990.0","The years of operation are unclear but years of operation are taken from the documentation based off estimations.","Not Converted","nan","nan","Unpermitted","11 Basalt Rd - Conceptual Closure Plan"
"28-CR-0006","[122.43144709999999, 122.431329, 122.43131480000001, 122.43144709999999]","[38.5722544, 38.57226179999999, 38.572139899999996, 38.5721436]","Pacific Union College Dump","Angwin","Private","Pacific Union College","nan","nan","nan","Closed","nan","nan","nan","Not Converted","nan","Campus Trails","Unpermitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/361501"
